Quaternary,Quat_code
D17B,4010702
D17C,4010703
D17D,4010704
D17E,4010705
D17F,4010706
D17G,4010707
D17H,4010708
D17J,4010709
D17K,4010710
D17L,4010711
D17M,4010712
D18A,4010801
D18B,4010802
D18C,4010803
D18D,4010804
D18E,4010805
D18F,4010806
D18G,4010807
D18H,4010808
D18J,4010809
D18K,4010810
D18L,4010811
D21A,4020101
D21B,4020102
D21C,4020103
D21D,4020104
D21E,4020105
D21F,4020106
D21G,4020107
D21H,4020108
D21J,4020109
D21K,4020110
D21L,4020111
D22A,4020201
D22B,4020202
D22C,4020203
D22D,4020204
D22E,4020205
D22F,4020206
D22G,4020207
D22H,4020208
D22J,4020209
D22K,4020210
D22L,4020211
D23A,4020301
D23B,4020302
D23C,4020303
D23D,4020304
D23E,4020305
D23F,4020306
D23G,4020307
D23H,4020308
D23J,4020309
D24A,4020401
D24B,4020402
D24C,4020403
D24D,4020404
D24E,4020405
D24F,4020406
D24G,4020407
D24H,4020408
D24J,4020409
D24K,4020410
D24L,4020411
D31A,4030101
D31B,4030102
D31C,4030103
D31D,4030104
D31E,4030105
D32A,4030201
D32B,4030202
D32C,4030203
D32D,4030204
D32E,4030205
D32F,4030206
D32G,4030207
D32H,4030208
D32J,4030209
D32K,4030210
D33A,4030301
D33B,4030302
D33C,4030303
D33D,4030304
D33E,4030305
D33F,4030306
D33G,4030307
D33H,4030308
D33J,4030309
D33K,4030310
D34A,4030401
D34B,4030402
D34C,4030403
D34D,4030404
D34E,4030405
D34F,4030406
D34G,4030407
D35A,4030501
D35B,4030502
D35C,4030503
D35D,4030504
D35E,4030505
D35F,4030506
D35G,4030507
D35H,4030508
D35J,4030509
D35K,4030510
D41A,4040101
D41B,4040102
D41C,4040103
D41D,4040104
D41E,4040105
D41F,4040106
D41G,4040107
D41H,4040108
D41J,4040109
D41K,4040110
D41L,4040111
D41M,4040112
D42A,4040201
D42B,4040202
D42C,4040203
D42D,4040204
D42E,4040205
D51A,4050101
D51B,4050102
D51C,4050103
D52A,4050201
D52B,4050202
D52C,4050203
D52D,4050204
D52E,4050205
D52F,4050206
D53A,4050301
D53B,4050302
D53C,4050303
D53D,4050304
D53E,4050305
D53F,4050306
D53G,4050307
D53H,4050308
D53J,4050309
D54A,4050401
D54B,4050402
D54C,4050403
D54D,4050404
D54E,4050405
