GrandID,Latitude,Longitude,Sample Date,P,ETa,PET,Melt,Snow,Temp,P_res,S_res,Ea_res,Qin_res,FracFull,Qout_res
4824,25.129167556762695,79.72083282470703,2013-06-21,0.19161179661750793,3.3650519847869873,0.0,0.0,0.0,0.0,0.13621337711811066,76153680.0,4.607466697692871,64.5194320678711,0.6531189680099487,2.4075000286102295
3680,-17.412500381469727,14.645833015441895,2014-03-09,10.415908813476562,2.3751134872436523,0.0,0.0,0.0,0.0,11.05450439453125,30847958.0,3.1747286319732666,3.8935229778289795,0.7292661666870117,3.9959068298339844
3043,6.462500095367432,-10.6875,2011-10-09,13.335115432739258,3.125462770462036,0.0,0.0,0.0,0.0,5.039006233215332,1789551.0,2.9251954555511475,646.5398559570312,0.007794211618602276,646.6686401367188
2068,45.170833587646484,-67.77083587646484,2013-07-21,3.12227463722229,2.3258538246154785,0.0,0.0,0.0,0.0,6.3288140296936035,538465984.0,4.749760150909424,4.449187755584717,0.6825529932975769,6.765295505523682
6000,35.079166412353516,127.23750305175781,2011-08-24,29.727060317993164,2.274766206741333,0.0,0.0,0.0,0.0,29.410572052001953,210000000.0,2.361201524734497,213.3301239013672,1.0,218.0553436279297
1417,47.22083282470703,-75.1624984741211,2015-08-24,0.01015352550894022,1.8558769226074219,0.0,0.0,0.0,0.0,0.03695344179868698,500000000.0,2.5751538276672363,12.041081428527832,1.0,9.70974063873291
1526,43.10416793823242,-88.9124984741211,2015-08-04,0.03460200875997543,3.095421314239502,0.0,0.0,0.0,0.0,0.048141926527023315,29792086.0,4.726994037628174,0.040410540997982025,0.8536415100097656,0.1934632956981659
5185,41.72083282470703,117.85416412353516,2013-09-25,0.0,1.60138738155365,17070.0,0.0,0.0,17070.0,0.0,179614112.0,2.468935489654541,12.666696548461914,0.9814978837966919,14.613777160644531
1125,34.12916564941406,-93.70417022705078,2013-10-22,0.7215150594711304,1.8030803203582764,0.0,0.0,0.0,0.0,0.6564110517501831,246961968.0,2.286726951599121,0.05998117849230766,0.33337199687957764,5.493735313415527
278,49.5625,-113.87916564941406,2014-01-18,0.004958693869411945,0.2795941233634949,0.0,3.6415391946320597e-07,78.17048645019531,0.0,0.0011386109981685877,383682624.0,0.44584664702415466,24.318435668945312,0.7830257415771484,18.911497116088867
5457,30.012500762939453,106.95417022705078,2012-02-15,0.47845658659935,0.7343567609786987,0.0,0.0,0.0,0.0,0.44896358251571655,39296280.0,1.1773898601531982,1.8440685272216797,0.10678336769342422,12.8298921585083
3121,60.19583511352539,6.3458333015441895,2015-05-10,0.6808235049247742,0.1043233647942543,0.0,0.1680649369955063,555.9384155273438,0.0,1.634569525718689,6961135.0,2.37198543548584,0.09775863587856293,0.04800782725214958,0.43441230058670044
1353,20.212499618530273,-97.98750305175781,2012-10-18,0.47181567549705505,2.936053991317749,0.0,0.0,0.0,0.0,0.4133395552635193,42403528.0,3.697803020477295,2.429171323776245,0.9861285090446472,4.399999618530273
382,44.00416564941406,-117.38749694824219,2013-02-03,0.01130914967507124,0.4354003965854645,0.0,3.234727500966983e-06,31.277135848999023,0.0,0.015262514352798462,18007212.0,0.9126817584037781,3.104233980178833,0.48668140172958374,1.6884034872055054
5945,37.537498474121094,128.0124969482422,2011-12-04,5.140481948852539,0.8537387847900391,0.0,8.372037882509176e-06,6.780683994293213,0.0,4.935420989990234,36523092.0,0.976685643196106,6.10999870300293,0.42028871178627014,3.4331583976745605
5822,-20.97083282470703,117.0875015258789,2014-04-29,0.0,0.8226831555366516,0.0,0.0,0.0,0.0,0.0,50962540.0,3.4276912212371826,0.37916192412376404,0.7987858653068542,0.9265000224113464
2579,56.420833587646484,-4.054166793823242,2010-07-21,6.5587310791015625,1.026277780532837,0.0,0.0,0.0,0.0,7.609218597412109,15153443.0,1.2308318614959717,0.2283603698015213,0.5034366846084595,0.31499946117401123
6702,-24.362499237060547,150.6041717529297,2012-09-22,0.029533755034208298,0.6628947854042053,0.0,0.0,0.0,0.0,0.053845085203647614,126945456.0,3.9696972370147705,0.9514687657356262,0.9995705485343933,0.8509074449539185
4199,-27.9375,29.945833206176758,2012-03-26,0.12799841165542603,2.1431727409362793,0.0,0.0,0.0,0.0,0.19760099053382874,196744928.0,3.7872512340545654,1.0488691329956055,0.9916579127311707,1.0613703727722168
111,42.212501525878906,-122.36250305175781,2013-06-29,0.0,3.5948517322540283,16982.0,0.0,0.0,16982.0,0.0,73365376.0,5.518248081207275,0.44058457016944885,0.9821335673332214,0.43937331438064575
2633,52.10416793823242,-3.7791666984558105,2010-12-04,2.36932635307312,0.5104913115501404,0.0,1.8443822860717773,1.6944873332977295,0.0,2.5404505729675293,41133188.0,0.5595237016677856,1.2098246812820435,0.674314558506012,1.7814992666244507
2077,45.02916717529297,-67.34583282470703,2012-12-12,1.5539880990982056,0.31623727083206177,0.0,0.0,1.239625096321106,0.0,3.0014445781707764,6316452.0,0.5639594197273254,1.2776674032211304,0.2699338495731354,1.4257457256317139
1859,34.17916488647461,-86.82083129882812,2012-02-03,0.4680057168006897,1.216721773147583,0.0,0.0,0.0,0.0,0.5037561058998108,13412246.0,1.3791333436965942,0.9309313893318176,0.5080395936965942,0.8154999017715454
2267,10.170833587646484,-71.04582977294922,2011-01-15,3.5908284187316895,2.8955397605895996,0.0,0.0,0.0,0.0,4.5385212898254395,115885184.0,2.999091148376465,2.255183696746826,0.9990102052688599,2.558943510055542
746,47.69583511352539,-96.13749694824219,2013-03-26,0.16355183720588684,0.13664588332176208,0.0,0.0,93.37979888916016,0.0,0.22334197163581848,10983198.0,1.485053300857544,0.05808155983686447,0.43757757544517517,0.12299875915050507
1726,37.74583435058594,-82.72916412353516,2010-03-06,0.0,1.7767292261123657,0.0,0.2403412163257599,0.3565281331539154,0.0,0.0,21200000.0,2.151309013366699,5.780219078063965,0.18418766558170319,5.5647406578063965
5636,26.554166793823242,118.8125,2013-09-29,0.30017510056495667,2.2558529376983643,0.0,0.0,0.0,0.0,0.20220085978507996,604548672.0,2.37540864944458,5.999164581298828,0.9431337118148804,17.757932662963867
805,46.4375,-90.23750305175781,2015-07-21,0.05350490286946297,3.8040146827697754,0.0,0.0,0.0,0.0,0.043543677777051926,21410656.0,4.642189025878906,0.291434109210968,0.31579136848449707,1.6583515405654907
1444,46.14583206176758,-88.24583435058594,2014-02-04,0.0,0.22890493273735046,0.0,0.0,98.82080841064453,0.0,0.0,61458932.0,0.7898647785186768,6.730991363525391,0.39753514528274536,12.213869094848633
4723,25.237499237060547,67.0875015258789,2013-03-08,0.0,0.2219727486371994,0.0,0.0,0.0,0.0,0.0,1048838336.0,4.213632106781006,9.417023658752441,0.9200336337089539,9.50440788269043
1365,19.64583396911621,-99.24583435058594,2011-01-27,0.01869426667690277,0.16915681958198547,0.0,0.0,0.0,0.0,0.06898538768291473,65440564.0,3.0903279781341553,0.47654610872268677,0.9915237426757812,0.4285740852355957
377,44.27916717529297,-115.62916564941406,2011-02-23,5.404533386230469,0.517322301864624,0.0,0.0,358.24859619140625,0.0,5.247775554656982,198273072.0,1.1897871494293213,1.6579511165618896,0.9923578500747681,2.147069215774536
1237,31.9375,-96.6875,2011-01-14,0.0,0.7536536455154419,0.0,9.348752975463867,2.0004091262817383,0.0,0.0,80876936.0,0.8572943806648254,22.007484436035156,0.19526058435440063,19.624000549316406
29,49.69583511352539,-123.5374984741211,2015-09-20,11.96812915802002,0.7626325488090515,0.8264473676681519,0.020125720649957657,0.021352361887693405,9.725991249084473,16.58527946472168,79784600.0,0.9067419171333313,16.061771392822266,0.7986447215080261,11.094499588012695
1750,37.087501525878906,-80.57917022705078,2015-12-23,8.332514762878418,0.7520633339881897,0.0,0.0,0.0,0.0,6.426141262054443,267187712.0,0.7574361562728882,109.43815612792969,0.9335699081420898,91.72969818115234
5533,28.6875,111.63749694824219,2015-02-07,0.0,0.6694316267967224,0.0,0.0,0.0,0.0,0.0,14294938.0,1.5242602825164795,0.054192911833524704,0.14294938743114471,0.19431036710739136
2133,43.670833587646484,-73.75416564941406,2011-05-18,3.4023265838623047,1.312846302986145,0.0,0.0,0.0,0.0,3.3713059425354004,32463280.0,1.6165870428085327,3.2308261394500732,0.6377854347229004,3.3260741233825684
2486,-6.412499904632568,-38.9375,2012-03-15,0.0349063016474247,2.201265811920166,0.0,0.0,0.0,0.0,0.012914960272610188,58123416.0,4.523540496826172,0.26606297492980957,0.8753527402877808,0.39999955892562866
1286,30.662500381469727,-97.7125015258789,2015-03-11,0.09016367793083191,1.6881564855575562,0.0,0.0,0.0,0.0,0.08924305438995361,46339080.0,1.9374816417694092,30.1076717376709,0.1706780195236206,5.019412994384766
4888,22.39583396911621,79.6624984741211,2014-04-20,0.7956492900848389,0.9927412271499634,0.0,0.0,0.0,0.0,0.8746620416641235,332927680.0,4.880558490753174,0.01870044507086277,0.656662106513977,12.877469062805176
32,49.420833587646484,-122.97916412353516,2014-01-25,0.0,0.38683801889419556,0.0,1.9909747838974,144.13430786132812,0.0,0.0,25300000.0,0.5350496768951416,6.640430450439453,1.0,6.626332759857178
3494,41.97083282470703,2.429166555404663,2012-10-25,0.03339897468686104,0.9405256509780884,0.0,0.0,0.0,0.0,0.01923825964331627,147868944.0,1.0872023105621338,51.23506546020508,0.8775604963302612,12.199132919311523
2235,40.88750076293945,-74.6624984741211,2011-02-02,5.829812526702881,0.4353678822517395,0.0,0.0,25.310029983520508,0.0,9.582340240478516,28481190.0,0.744652271270752,0.23394055664539337,0.4786754548549652,0.6813440322875977
759,47.40416717529297,-93.47916412353516,2011-01-28,0.25725430250167847,0.11430014669895172,0.0,0.0,52.86907958984375,0.0,0.5800836086273193,93547824.0,0.6881169080734253,0.38659965991973877,0.6265761852264404,0.38624638319015503
1885,33.30416488647461,-84.4124984741211,2012-11-04,0.0,0.4030754566192627,0.0,0.0,0.0,0.0,0.0,7892089.5,1.7336008548736572,0.0036987983621656895,0.352325439453125,0.12949585914611816
5580,27.870832443237305,109.72083282470703,2014-01-24,0.0,1.0516679286956787,1.9428268671035767,0.0,0.0,10.390250205993652,0.0,12450795.0,2.0421433448791504,0.5593762993812561,0.12488260120153427,4.1353302001953125
1594,40.712501525878906,-78.52916717529297,2011-07-18,0.010986743494868279,2.7708730697631836,0.0,0.0,0.0,0.0,0.008217990398406982,27648864.0,4.777833938598633,0.026983465999364853,0.32954543828964233,0.8534554243087769
2575,56.704166412353516,-4.879166603088379,2010-04-06,16.158267974853516,0.6094878315925598,0.0,0.786318302154541,0.15481628477573395,0.0,19.607830047607422,109822656.0,0.8315256834030151,3.7835357189178467,0.9867264628410339,3.2039999961853027
564,37.72916793823242,-107.24583435058594,2014-10-24,0.01831941120326519,1.2004177570343018,0.0,2.315061330795288,4.969172954559326,0.0,0.01761317253112793,64400000.0,2.087023973464966,4.167440414428711,0.7076923251152039,4.105203151702881
5102,25.537500381469727,92.64583587646484,2014-08-06,5.329859256744385,2.8816707134246826,0.0,0.0,0.0,0.0,3.1799001693725586,2223939.5,3.1501710414886475,53.38297653198242,0.13397225737571716,60.41765213012695
4797,29.287500381469727,78.92916870117188,2012-11-25,0.03576923534274101,0.05807739496231079,0.0,0.0,0.0,0.0,0.0,84644688.0,2.0064826011657715,0.006023091729730368,0.8976106643676758,0.3345000147819519
6713,-27.129167556762695,152.55416870117188,2013-03-29,1.0095913410186768,2.5148959159851074,0.0,0.0,0.0,0.0,0.7332841753959656,367372288.0,3.172866106033325,7.206246852874756,0.9955889582633972,7.917092800140381
2748,41.00416564941406,-7.5291666984558105,2014-12-25,0.01255797315388918,0.4791353642940521,0.0,0.0,0.0,0.0,0.02230703830718994,89671680.0,0.7399896383285522,3.100472927093506,0.8985137939453125,2.694999933242798
1120,34.22083282470703,-98.04582977294922,2014-05-17,0.0,1.5429236888885498,0.0,0.0,0.0,0.0,0.0,155791200.0,4.215907096862793,0.016390476375818253,0.13501273095607758,2.2638959884643555
2949,33.9375,-4.6875,2012-03-06,2.4195183868869208e-05,1.044485330581665,0.0,0.06277874112129211,0.3944169878959656,0.0,0.002346932888031006,72907792.0,2.6949431896209717,8.476409912109375,0.8945740461349487,8.393202781677246
1689,38.87083435058594,-88.30416870117188,2014-07-02,4.725881099700928,3.8173987865448,0.0,0.0,0.0,0.0,5.388688087463379,34568176.0,4.605910301208496,0.34473636746406555,0.5648394823074341,0.9304999113082886
5699,24.704166412353516,113.11250305175781,2015-06-05,16.607295989990234,1.4614847898483276,0.0,0.0,0.0,0.0,17.282791137695312,43712844.0,1.5878660678863525,21.57769775390625,0.19690468907356262,25.61199951171875
3299,47.162498474121094,3.8458333015441895,2014-07-22,12.422188758850098,1.4838535785675049,0.0,0.0,0.0,0.0,12.20089054107666,80272936.0,1.5378910303115845,0.8668248057365417,0.9730052947998047,1.350574016571045
2667,42.920833587646484,-2.620833396911621,2015-08-01,7.655462741851807,2.7931766510009766,0.0,0.0,0.0,0.0,10.018805503845215,114245072.0,3.4827771186828613,0.11152396351099014,0.7771772742271423,3.3480002880096436
2540,-19.954166412353516,-44.337501525878906,2013-11-09,8.712393760681152,4.08469295501709,0.0,0.0,0.0,0.0,9.94524097442627,64396984.0,4.785969257354736,0.2705788016319275,0.6909548044204712,1.8504998683929443
1253,31.570833206176758,-94.82083129882812,2013-07-30,0.28696078062057495,4.175529479980469,0.0,0.0,0.0,0.0,0.6164855360984802,34353184.0,5.165565490722656,0.019526958465576172,0.2282603532075882,1.101279377937317
1378,18.370832443237305,-100.27083587646484,2012-08-30,7.8192596435546875,3.9866104125976562,0.0,0.0,0.0,0.0,6.943411827087402,250000000.0,4.297566890716553,144.68319702148438,1.0,144.9756317138672
1516,43.25416564941406,-75.4375,2013-07-06,7.245236873626709,4.0988640785217285,0.0,0.0,0.0,0.0,6.560601234436035,68200000.0,4.4841508865356445,15.405001640319824,0.6320667266845703,15.635167121887207
