Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI
-31.46700203518553,57.86186151929455,2023-12-24,,,,,,
41.32911210085153,162.21829376875422,2015-07-29,,,,,,
24.760344843938363,82.68422891300686,2022-01-04,14582.5,10416.5,13848.5,11642.5,0.02581689001442079,-0.14143828559653765
69.69829366373878,-161.26349804779267,2019-05-20,,,,,,
-5.0013134708491265,138.3282626144235,2023-05-31,41322.0,38651.0,17817.0,16217.5,0.39745345710952096,0.36895232698165265
-68.4730357311057,130.56305866046128,2017-09-07,38570.0,41736.0,11908.0,12422.0,0.5281904988311729,0.5560360897770477
38.3840617001391,-20.40468452182848,2016-01-16,,,,,,
46.94130875104154,30.910698190051754,2022-11-15,37902.5,39848.5,8897.0,10162.5,0.6197822626310097,0.6349611759034154
11.029895562509322,171.38819969010677,2019-04-10,,,,,,
48.77409239182098,11.629570985339853,2022-12-16,12985.5,9126.0,9003.5,9005.5,0.18109054527263552,0.006756943103781094
-1.1167926544096662,145.91585821539232,2016-01-29,10184.0,10337.0,9979.0,9618.0,0.010167137826712245,0.017621579050994204
4.091909288758931,-150.1060471883329,2017-12-09,,,,,,
-13.042616695461067,-111.22132726487418,2016-01-31,,,,,,
-85.42455718606287,-21.32822036112558,2019-11-12,,,,,,
-70.57954314120519,30.512451001429692,2020-09-10,37574.5,42219.5,9667.0,10140.5,0.5907411915371006,0.6273789906815826
-84.34274657638784,113.84202667060808,2016-06-28,37656.5,41889.0,9694.5,10259.5,0.5905260712550937,0.6241239931373392
24.55387402748047,175.77436145154726,2022-07-22,,,,,,
-33.4159234062612,-40.013461269318086,2023-06-25,,,,,,
1.5427244096464987,-162.93037098956944,2017-12-20,,,,,,
73.36196530669675,108.42174118631694,2016-07-06,7221.5,8419.0,7259.0,7280.5,-0.0025896895825420216,0.07398902921290934
-45.12739875320251,37.57705886981092,2019-01-04,17031.5,15712.5,15429.0,13115.0,0.04936769304231282,0.00910360772602473
-16.13107385358665,-108.5245708074474,2018-02-27,,,,,,
45.99920493774876,-1.8617556162887405,2018-10-09,7300.0,7625.0,7493.5,7468.0,-0.013080068949200574,0.008697952839236639
-48.81633021150796,87.23168839214078,2021-02-23,,,,,,
-76.14361623081726,97.34824334471176,2022-10-17,38720.5,41603.5,12590.5,13509.5,0.5092475297694441,0.5353544672842002
-37.84473847552176,-0.13737168044567927,2019-08-14,,,,,,
-60.9801682942792,-70.12276915361072,2019-10-06,,,,,,
77.34557742166315,170.54732953385766,2016-11-24,,,,,,
55.461668321595056,58.81053994433743,2021-01-03,,,,,,
24.012676171876222,-33.03449303533247,2019-10-06,,,,,,
66.86290623378919,-79.03323928632513,2016-05-12,42205.0,48067.0,9356.5,10860.0,0.6370741735597284,0.6741229635950426
54.6609738418406,83.19707388128236,2020-09-26,14458.0,9871.0,16880.0,13781.0,-0.07728636160571806,-0.2620088968636677
-56.41738940051355,-92.81395958624363,2022-09-18,,,,,,
70.660619728196,-118.18440396947226,2022-05-22,38199.5,46097.0,8768.0,8998.0,0.6266354393995834,0.680379112366717
7.0816035448171295,10.740200026345303,2018-04-10,18863.0,9489.0,13616.5,10498.0,0.1615326590618693,-0.17863712103178822
55.339227929531255,-75.60453864810893,2016-09-04,13700.0,8620.5,11170.5,9247.5,0.10170684143865182,-0.12884644535394812
71.29643398622878,46.40585217250142,2022-07-09,,,,,,
-32.7593745050645,-137.54207704527596,2018-08-31,,,,,,
-70.19065358501818,55.778797644235766,2016-01-11,38235.5,41982.5,10794.0,11348.5,0.5596936538206578,0.5909543073148076
-48.9716707424505,-78.0132499208272,2017-03-16,,,,,,
-13.120598047273864,-179.91254360357541,2017-07-09,,,,,,
57.24265786604876,-134.3030192372965,2017-05-24,14196.0,8497.0,10242.0,8556.0,0.16179720108028414,-0.09312129782805864
64.93150498614182,156.10153602063386,2022-10-28,11251.0,13084.0,5946.0,7994.0,0.3084840379135878,0.3750919600630564
-88.74861650438568,132.2476700815288,2018-12-14,,,,,,
1.9345144639618317,-95.90074846695474,2023-01-31,,,,,,
-14.866019433219781,100.21388563637683,2018-11-20,,,,,,
-50.02059411526856,39.085773542630726,2019-03-26,,,,,,
-68.42423387993709,169.525696121953,2018-04-25,,,,,,
-29.22926914734697,-45.50196256773872,2017-10-02,,,,,,
79.72374670425344,65.32582050618166,2020-09-11,6926.0,7409.5,7526.5,7548.0,-0.04154990486075045,-0.007833422603106535
-31.82347223626406,-157.12713992738932,2020-10-17,,,,,,
3.3823119138058977,-37.35095514609386,2016-08-14,,,,,,
36.54341260113201,166.97435802774496,2018-04-29,,,,,,
-24.54667157172708,14.033114802043398,2020-11-18,7306.5,7642.0,7635.0,7671.0,-0.021985744403172226,0.0004582051449891964
84.92077488977291,-76.36337879945596,2019-02-17,,,,,,
83.24051308958002,-136.70245327370154,2018-08-01,,,,,,
-44.67918675143445,73.27020246535096,2017-07-02,,,,,,
-0.4952689393706189,52.148175634701644,2022-08-12,,,,,,
-35.84190423298146,-45.38206310264114,2016-01-25,,,,,,
-38.72871101205583,162.33888667170035,2015-06-09,,,,,,
-83.3603494761841,-172.00698732437388,2017-06-10,37635.5,42394.5,9686.0,9897.0,0.5906300518791657,0.6280373652326674
19.721580116381432,-70.6594134125427,2017-12-06,18342.0,10169.5,13827.5,11727.5,0.14033478916364836,-0.1524357211318075
0.4822241811950678,151.5850150678493,2023-11-05,,,,,,
-80.73382477500192,-64.46324220500146,2019-01-09,36521.0,40344.0,10129.0,10530.0,0.565744908896033,0.598636894973549
-39.84363643740994,-89.18897981213865,2016-11-26,,,,,,
73.48785947399766,12.319347575249031,2017-01-27,,,,,,
-46.878859679944966,116.56862997139365,2022-01-14,,,,,,
-63.91892302357984,-142.86716608379,2022-08-11,,,,,,
-1.8985031500386573,159.487455472465,2021-01-11,,,,,,
87.41708173990813,106.22623722521905,2015-12-05,,,,,,
-46.43005112792993,-114.7499080014413,2020-05-30,,,,,,
30.98439853305814,76.32286603133856,2017-03-05,18270.0,9384.5,12241.0,10201.0,0.19760086526170825,-0.13208943145823157
47.09153075916917,-41.414859850479424,2019-09-19,,,,,,
-47.22524208136806,-35.17391589252527,2019-05-17,,,,,,
41.07894275013472,101.9844332779919,2023-10-25,14483.5,12284.0,16990.0,16666.0,-0.07963842597740932,-0.16075698572111718
-23.79903611053442,166.60253087306359,2017-06-17,7263.5,7466.5,7390.0,7374.0,-0.008632749854983392,0.005149261266112442
23.815049506844307,-134.4038857750102,2018-03-13,,,,,,
24.035347936961045,-28.573114723625018,2015-04-13,,,,,,
6.4394431334565265,-6.8610210896507295,2022-10-30,19479.5,9254.5,13717.0,10354.5,0.17358757700359925,-0.1942624556515674
-73.7478413902065,-44.52774589620086,2015-04-03,45225.0,51707.0,7686.0,9745.5,0.7094744004082313,0.7411816207297144
60.35444920606283,-49.25191546215899,2017-09-01,7548.0,7610.0,7840.0,7792.0,-0.018975825318429822,-0.014886731391585663
-32.25958830508755,-161.18327967782525,2018-12-18,,,,,,
-56.426668128026236,66.79390340254437,2015-04-29,,,,,,
-82.6604745201425,-22.962809836783663,2020-07-25,38438.0,42454.0,11021.0,11724.5,0.5543379364726327,0.5878073866292649
16.360729773883527,-109.87423104818636,2020-09-07,,,,,,
31.961585131610835,113.77206082874463,2023-05-19,16915.5,8912.5,11005.5,8812.0,0.2116686365101529,-0.10508083140877546
-87.01419079298589,108.92186933458605,2019-03-15,,,,,,
2.176750493870576,-4.8990138879982315,2023-06-29,7981.0,7943.5,8697.5,8544.0,-0.04295949875588307,-0.045309777056667
-49.230760464371166,-72.55776198680621,2022-12-29,30283.0,34290.5,8660.0,8520.0,0.5552474128854978,0.5967450902783422
26.131102273700975,49.71338128672286,2018-10-21,25163.0,19207.5,28563.5,26794.0,-0.06329278847496103,-0.19585103933348644
-58.61404277910154,-76.2652311201349,2022-10-18,,,,,,
34.36879285844387,-95.03714508346367,2023-10-15,13464.0,8411.0,11525.0,9371.0,0.07759414142222547,-0.15619983948635557
-20.387637665903267,82.9852754494776,2016-04-19,,,,,,
78.61139797261221,-165.48291370045774,2022-02-23,,,,,,
-65.24623005372122,-145.88335042754616,2016-03-10,,,,,,
-28.608056810953467,-177.55625735150767,2022-10-22,,,,,,
-69.57476617669397,-124.94045286884659,2018-06-11,47636.0,53590.0,10027.0,11385.0,0.6522206614293383,0.6847697942373883
76.4448512901413,-155.1635968642346,2015-02-24,30592.5,37918.5,7591.0,8681.5,0.6023937040868422,0.6663993232182277
67.92108360857658,178.4888524007707,2017-07-19,29560.5,37713.5,6456.5,8035.0,0.6414748590943148,0.707652252660175
-43.57050701127199,-76.02841081652775,2018-08-08,7374.0,7666.0,7405.0,7419.0,-0.0020975708775965757,0.017318028000796116
28.797128286152226,-126.26351543907099,2022-08-31,,,,,,
57.09999603621885,-93.24134712146954,2015-11-08,16352.0,9442.5,11917.0,9589.0,0.1568856344405527,-0.11585009012383195
9.93614608790322,157.00520575444847,2019-04-21,,,,,,
5.337104104081167,7.2576802887824465,2023-08-27,22472.0,18249.0,18019.5,15660.0,0.10996134991294441,0.006327805120145563
-46.4665876379187,-48.66548532917152,2023-12-28,,,,,,
-73.24150179493815,134.42092484731896,2017-08-14,37145.5,40731.0,13239.5,13951.0,0.4744666071251355,0.5093801243271778
71.49883643159882,-37.80350260234832,2021-06-23,,,,,,
72.07525028939948,-59.396914815229515,2020-03-15,44585.5,47903.0,12948.0,13840.0,0.5498970165208087,0.5744359172404717
23.95826230918823,-105.3782918820952,2017-01-26,13061.0,8736.5,13312.0,10689.5,-0.009517309369430823,-0.20751978592647932
-28.974637611233877,-43.99314339261186,2021-11-17,7960.0,8396.0,7798.0,7693.0,0.010280492448280174,0.03692725700876845
-27.14227656972104,-65.99363183390663,2023-08-25,7564.5,7324.5,7718.0,7650.5,-0.010044168166203108,-0.026159215555924705
40.672022196643084,63.82942534733077,2018-12-03,15613.5,13203.0,18657.5,17583.5,-0.08882145254004817,-0.17119944759184516
71.47984679146387,-75.75022631853824,2018-06-17,33073.0,65535.0,8002.0,7809.0,0.6103712720632973,0.7823680596162466
69.67555636772111,27.79190871212212,2020-01-30,33963.5,44118.0,7362.0,7600.0,0.6437066702157248,0.7139860139860126
50.377598254372295,-156.27882058848982,2022-07-10,,,,,,
25.5656963077718,-111.13590358925482,2023-07-26,7789.5,8097.0,7501.0,7460.5,0.018867924528301765,0.0382100269265288
-74.85480630089121,-33.33410221991444,2023-09-20,45407.0,51369.5,8588.0,10479.0,0.6818964718955446,0.7135304173789756
-60.90683146296952,157.30173140713035,2022-08-14,,,,,,
71.73975393487426,-44.189285142349654,2017-12-29,37219.5,40835.5,13021.5,13523.5,0.4816385024183426,0.5164416881742382
